,goods_id,article,name,url,regular_price,promo_price,amount,brand,store_id
0,96031,366305,"RIOBA Шоколад молочный (5г х 160шт), 800г",https://online.metro-cc.ru/products/rioba-porcionnyj-molochnyj-32-kakao-800g,809.0,-,873,RIOBA,10
1,96030,366302,"RIOBA Шоколад темный (5г х 160шт), 800г",https://online.metro-cc.ru/products/rioba-porcionnyj-temnyj-51-kakao-800g,809.0,-,311,RIOBA,10
2,11727958,138161,"RIOBA Мини-шоколад Ассорти 6 вкусов, 800г",https://online.metro-cc.ru/products/800g-mini-shokolad-rioba-assorti-6-vkusov,939.0,-,137,RIOBA,10
3,153624,468774,"Зефир Шармэль Классический в шоколаде, 250г",https://online.metro-cc.ru/products/udarnica-v-shokolade-klassicheskij-sharmel-250g,269.0,229,907,ШАРМЭЛЬ,10
4,96032,366306,"RIOBA Шоколад горький (5г х 160шт), 800г",https://online.metro-cc.ru/products/rioba-porcionnyj-gorkij-72-kakao-800g,809.0,-,243,RIOBA,10
5,112894,479653,"Шоколад Kinder Chocolate, 50г",https://online.metro-cc.ru/products/molochnyj-kinder-reg-chocolate-s-molochnoj-nachinkoj-50g,71.9,-,1717,KINDER,10
6,149124,407173,"Конфеты Рот Фронт батончики шоколадно сливочный вкус, 250г",https://online.metro-cc.ru/products/250g-batonchiki-rf-shok-sliv,149.0,119,818,РОТ ФРОНТ,10
7,244838,511463,"Печенье Oreo Original, 228г",https://online.metro-cc.ru/products/shokoladnoe-oreo-228g,169.0,-,1400,OREO,10
8,11727953,138160,"RIOBA Шоколад Ассорти 4 вкуса, 800г",https://online.metro-cc.ru/products/800g-shokolad-rioba-assorti-4-vkusa,989.0,-,214,RIOBA,10
9,574734,90042,"Палочки Lorenz Snack-World Saltletts классические, 150г",https://online.metro-cc.ru/products/palochki-klassicheskie-saltletts-150g,83.9,59.9,370,SALTLETTS,10
10,560076,51360,"Печенье Полет овсяное с кусочками шоколада, 600г",https://online.metro-cc.ru/products/pechenye-polet-ovsyanoe-s-kusochkami-shokolada-600-g,286.0,249,254,ПОЛЕТ,10
11,164373,426352,"Батончик Snickers Minis шоколадные, 180г",https://online.metro-cc.ru/products/snickers-minis-180-g,204.0,-,587,SNICKERS,10
12,139796,445183,"Конфеты M&M's Драже с арахисом, 360г",https://online.metro-cc.ru/products/m-m-039s-drazhe-s-arahisom-360g,369.0,-,281,M&M'S,10
13,98459,239422,"Конфеты Ferrero Rocher Бриллиант хрустящие с лесным орехом, 300г",https://online.metro-cc.ru/products/hrustyaschie-ferrero-rocher-iz-molochnogo-shokolada-pokrytye-izmelchennymi-oreshkami-s-nachinkoj-iz-krema-lesnogo-oreha-300g,1249.0,-,230,FERRERO,10
14,594147239,222198,"Печенье сахарное Любятово Топленое молоко, 444г",https://online.metro-cc.ru/products/444g-pechene-lyubyatovo-toplenoe-moloko,116.0,109,245,ЛЮБЯТОВО,10
15,87274,275874,"Печенье Twix minis сахарное с карамелью, 184г",https://online.metro-cc.ru/products/twix-minis-184g,204.0,-,297,TWIX,10
16,154027,463292,"RIOBA Карамель мини со вкусом фруктов, 500г",https://online.metro-cc.ru/products/rioba-karamel-mini-so-vkusom-fruktov-500g,419.0,-,1200,RIOBA,10
17,508713,636871,"Вафли Kinder Bueno White в белом шоколаде, 39г",https://online.metro-cc.ru/products/vafli-kinder-nbspbueno-white-v-belom-39g,91.9,-,761,KINDER BUENO,10
18,557382738,218671,"Печенье Юбилейное традиционное, 403г",https://online.metro-cc.ru/products/403g-pechene-yubileynoe-traditsionnoe,139.0,119,354,ЮБИЛЕЙНОЕ,10
19,601434956,227287,"RIOBA Чипсы нори с оливковым маслом, 4.5г",https://online.metro-cc.ru/products/45g-chipsy-nori-rioba-s-olivkovym-maslom-227287,46.49,-,110,RIOBA,10
20,649430,129266,"Печенье Юбилейное Традиционное, 268г",https://online.metro-cc.ru/products/yubilejnoe-tradicionnoe-268g,92.9,-,965,ЮБИЛЕЙНОЕ,10
21,182261,406464,"Конфеты Рот Фронт Батончики, 250г",https://online.metro-cc.ru/products/rot-front-batonchik-250-g,149.0,119,1867,РОТ ФРОНТ,10
22,396128,551823,"Зефир Полет в темной шоколадной глазури, 500г",https://online.metro-cc.ru/products/polet-v-temnoj-shokoladnoj-glazuri-500g,266.0,229,175,ПОЛЕТ,10
23,8514397,126549,"METRO Chef Печенье Савоярди, 500г",https://online.metro-cc.ru/products/metro-chef-pechene-savoyardi-500g,519.0,-,245,METRO CHEF,10
24,90928,337582,"Набор шоколада Ritter Sport Mini порционного, 1.4кг",https://online.metro-cc.ru/products/ritter-sport-nabor-porcionnogo-mini-14kg,2079.0,-,131,RITTER SPORT,10
25,257984,496203,"Батончик Kinder Bueno вафельный в молочном шоколаде, 43г",https://online.metro-cc.ru/products/vafli-kinder-bueno-v-molochnom-43g,91.9,-,2393,KINDER BUENO,10
26,248381,514810,"Шоколад Kinder Maxi молочный с молочной начинкой, 84г",https://online.metro-cc.ru/products/molochnyj-kinder-reg-chocolate-maxi-s-molochnoj-nachinkoj-84g,137.0,-,137,KINDER MAXI,10
27,636275,125054,"Крендели Saltletts с солью классические, 150г",https://online.metro-cc.ru/products/krendeli-s-solyu-klassicheskie-saltletts-150g,76.9,59.9,198,SALTLETTS,10
28,448106987,213135,"Кекс Kuchenmeister Пасхальный кролик, 350г",https://online.metro-cc.ru/products/350g-pashalnyy-krolik-kuchenmeister-molochnyy-shokolad,959.0,-,293,KUCHENMEISTER,10
29,517757,643370,"Печенье Полет Классическое овсяное, 250г",https://online.metro-cc.ru/products/ovsyanoe-sssr-klassicheskoe-250g,154.0,119,384,ПОЛЕТ,10
30,176425,46753,"Конфеты Reber Mozart Mirabell шоколадные ассорти, 600г",https://online.metro-cc.ru/products/mirabell-shokoladnye-s-marcipanom-mocart-600g,2729.0,2009,39,REBER MOZART,10
31,187057,445187,"Конфеты M&M's Драже с молочным шоколадом, 360г",https://online.metro-cc.ru/products/m-ms-drazhe-s-molochnym-shokoladom-360g,369.0,-,189,M&M'S,10
32,643639,128252,"Чипсы Lay's Max рифленые Сметана и лук, 140г",https://online.metro-cc.ru/products/lays-max-smetana-luk-140g,149.0,-,563,LAY'S,10
33,252007,514690,"Конфеты Красный Октябрь Мишка косолапый, Аленка, Красная шапочка, 700г",https://online.metro-cc.ru/products/krasnyj-oktyabr-shokoladnye-miks-mishka-kosolapyj-alenka-krasnaya-shapochka-700g,879.0,569,428,КРАСНЫЙ ОКТЯБРЬ,10
34,594324,114126,"Батончик Milky Way шоколадный 4шт, 104г",https://online.metro-cc.ru/products/4h26g-batonchik-milky-way-shokoladnyj-mp,86.9,69.9,118,MILKY WAY,10
35,509743,624549,"Печенье Belvita Утреннее с какао, 253г",https://online.metro-cc.ru/products/belvita-utrennee-s-kakao-253g,174.0,-,203,BELVITA,10
36,517762,643151,"Конфеты Победа вкуса Мишки в лесу шоколадные, 200г",https://online.metro-cc.ru/products/shokoladnye-pobeda-vkusa-mishki-v-lesu-s-nezhnoj-nachinkoj-vafelnoj-kroshkoj-200g,149.0,-,225,ПОБЕДА ВКУСА,10
37,208472,332931,"Батончик Mars Minis шоколадный с нугой и карамелью, 182г",https://online.metro-cc.ru/products/mars-minis-180g-332931,204.0,-,211,MARS,10
38,522168,646139,"Десерт Полет Лимоньерки слоеный с яблоком и корицей, 500г",https://online.metro-cc.ru/products/polet-laquosloenyj-desert-limonyerki-raquo-s-yablokom-koricej-500g,233.0,219,228,ПОЛЕТ,10
39,497141,625299,"Десерт Полет Лимоньерки слоеный, 500г",https://online.metro-cc.ru/products/sloenyj-desert-polet-limonyerki-500g,257.0,219,91,ПОЛЕТ,10
40,616238,121016,"Конфеты Красный Октябрь Мишка косолапый, 200г",https://online.metro-cc.ru/products/200g-krasnyj-oktyabr-mishka-kosolapyj,209.0,179,695,КРАСНЫЙ ОКТЯБРЬ,10
41,252106,514691,"Конфеты Красный Октябрь микс Каракум, Красный мак, Петушок шоколадные, 700г",https://online.metro-cc.ru/products/krasnyj-oktyabr-shokoladnye-miks-karakum-krasnyj-mak-petushok-700g,599.0,489,125,КРАСНЫЙ ОКТЯБРЬ,10
42,93269,74813,"Леденцы Bon Pari ассорти, 1кг",https://online.metro-cc.ru/products/karamel-bon-pari-assorti-1-kg,499.0,439,199,BON PARI,10
43,102979,407346,"Конфеты Рот Фронт Птичье молоко, 225г",https://online.metro-cc.ru/products/225g-ptichye-moloko,229.0,-,424,РОТ ФРОНТ,10
44,483916,619953,"Шоколад Победа вкуса молочный без сахара 36% какао, 100г",https://online.metro-cc.ru/products/pobeda-molochnyj-32-kakao-bez-sahara-100-g,149.0,-,145,ПОБЕДА,10
45,594410,114122,"Батончик Snickers шоколадный 40г х 4шт, 160г",https://online.metro-cc.ru/products/4h40g-batonchik-snickers-shokoladnyj-mp,152.0,119,202,SNICKERS,10
46,643719,128250,"Чипсы Lay's Зеленый лук, 140г",https://online.metro-cc.ru/products/lays-zelenyj-luk-140g,149.0,-,360,LAY'S,10
47,593662,112677,"Шоколад Milka молочный с цельным фундуком, 85г",https://online.metro-cc.ru/products/shokolad-milka-molochnyj-s-celnym-fundukom-85g,129.0,-,600,MILKA,10
